full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
markmarkoh/datamaps,https://github.com/markmarkoh/datamaps,3798,73890,2026-02-10T21:28:39Z,JavaScript,2012-11-10T19:04:40Z,MIT,998,master,Customizable SVG map visualizations for the web in a single Javascript file using D3.js
umijs/dumi,https://github.com/umijs/dumi,3795,6833,2026-08-12T02:37:39Z,JavaScript,2019-10-23T07:52:50Z,MIT,1169,master,📖 Static Site Generator for component library development
sve1r/Rules-For-Quantumult-X,https://github.com/sve1r/Rules-For-Quantumult-X,3782,23120,2026-02-09T10:59:43Z,JavaScript,2019-10-08T05:09:02Z,MIT,362,main,"适用于 Quantumult X 规则整理集合. 所有内容源自 互联网,仅作为收集和整理 "
spite/ccapture.js,https://github.com/spite/ccapture.js,3766,50518,2026-07-27T23:40:51Z,JavaScript,2012-09-03T11:00:40Z,MIT,404,master,A library to capture canvas-based animations at a fixed framerate
frejs/fre,https://github.com/frejs/fre,3763,7249,2026-08-09T15:18:29Z,JavaScript,2018-07-28T06:46:46Z,MIT,348,master,:ghost: Tiny Concurrent UI library with Fiber.
openspeedtest/Speed-Test,https://github.com/openspeedtest/Speed-Test,3762,31073,2026-04-22T11:33:37Z,JavaScript,2021-07-15T02:26:40Z,MIT,369,main,"SpeedTest by OpenSpeedTest™ is a Free and Open-Source HTML5 Network Performance Estimation Tool Written in Vanilla Javascript and only uses built-in Web APIs like XMLHttpRequest (XHR), HTML, CSS, JS, "
HughYau/qiushi-skill,https://github.com/HughYau/qiushi-skill,3761,3802,2026-08-27T13:14:31Z,JavaScript,2026-03-25T10:24:01Z,MIT,287,main,"Qiushi-Skill: Build agents that investigate first, focus on the main contradiction, validate in practice, and keep pushing until the work is actually done. 求是Skill——从经典唯物辩证法与实践哲学中提炼出一条总原则和九大方法论工具武装AI大"
rollup/plugins,https://github.com/rollup/plugins,3758,7804,2026-05-29T15:48:45Z,JavaScript,2019-08-21T15:02:50Z,MIT,634,master,🍣  The one-stop shop for official Rollup plugins
flow-typed/flow-typed,https://github.com/flow-typed/flow-typed,3756,14298,2026-08-13T20:53:17Z,JavaScript,2015-09-18T03:51:49Z,MIT,1310,main,A central repository for Flow library definitions
composerize/composerize,https://github.com/composerize/composerize,3756,2865,2026-05-17T14:35:15Z,JavaScript,2016-08-26T02:20:37Z,MIT,256,master,🏃→🎼  docker run asdlksjfksdf > docker-composerize up
