full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
apple/password-manager-resources,https://github.com/apple/password-manager-resources,4804,1026,2026-09-02T19:09:21Z,JavaScript,2020-03-19T20:33:29Z,MIT,637,main,A place for creators and users of password managers to collaborate on resources to make password management better.
style-dictionary/style-dictionary,https://github.com/style-dictionary/style-dictionary,4797,16931,2026-09-03T00:15:18Z,JavaScript,2016-11-29T20:53:51Z,Apache-2.0,630,main,A build system for creating cross-platform styles.
harlan-zw/unlighthouse,https://github.com/harlan-zw/unlighthouse,4797,36434,2026-08-14T15:40:01Z,JavaScript,2021-10-31T07:14:30Z,MIT,166,main,Run Google Lighthouse on your entire site.
baidu/san,https://github.com/baidu/san,4737,7982,2026-07-15T11:59:18Z,JavaScript,2016-08-29T09:27:23Z,MIT,538,master,"A fast, portable, flexible JavaScript component framework"
meetfranz/franz,https://github.com/meetfranz/franz,4712,16056,2026-06-12T13:36:11Z,JavaScript,2017-10-13T10:17:01Z,Apache-2.0,579,master,"Franz is a free messaging app for services like WhatsApp, Slack, Messenger and many more."
AntSwordProject/antSword,https://github.com/AntSwordProject/antSword,4701,40958,2026-04-29T16:48:06Z,JavaScript,2016-03-11T09:28:00Z,MIT,649,master,中国蚁剑是一款跨平台的开源网站管理工具。AntSword is a cross-platform website management toolkit.
electerious/Ackee,https://github.com/electerious/Ackee,4692,16478,2026-08-16T10:30:14Z,JavaScript,2014-04-16T08:08:37Z,MIT,384,master,"Self-hosted, Node.js based analytics tool for those who care about privacy."
u14app/deep-research,https://github.com/u14app/deep-research,4682,1668,2026-06-18T14:43:29Z,JavaScript,2025-02-22T03:29:07Z,MIT,1060,main,Use any LLMs (Large Language Models) for Deep Research. Support SSE API and MCP server.
neuland/micro-frontends,https://github.com/neuland/micro-frontends,4680,18060,2026-02-20T01:29:52Z,JavaScript,2017-03-24T15:56:44Z,MIT,473,master,extending the microservice paradigms to web development
react-syntax-highlighter/react-syntax-highlighter,https://github.com/react-syntax-highlighter/react-syntax-highlighter,4675,53163,2026-02-26T22:38:37Z,JavaScript,2016-01-27T04:05:41Z,MIT,315,master,syntax highlighting component for react with prismjs or highlightjs ast using inline styles
sagalbot/vue-select,https://github.com/sagalbot/vue-select,4671,13635,2026-02-17T21:34:10Z,JavaScript,2016-03-02T05:06:02Z,MIT,1313,master,"Everything you wish the HTML <select> element could do, wrapped up into a lightweight, extensible Vue component."
octokatherine/readme.so,https://github.com/octokatherine/readme.so,4629,2946,2026-03-13T04:38:06Z,JavaScript,2021-04-08T18:11:34Z,MIT,364,main,An online drag-and-drop editor to easily build READMEs
gradio-app/fastrtc,https://github.com/gradio-app/fastrtc,4623,4896,2026-01-12T15:53:57Z,JavaScript,2024-09-25T16:19:19Z,MIT,432,main,The python library for real-time communication
MrSwitch/hello.js,https://github.com/MrSwitch/hello.js,4619,8797,2026-01-12T22:55:22Z,JavaScript,2011-08-31T17:03:40Z,MIT,607,main,"A Javascript RESTFUL API library for connecting with OAuth2 services, such as Google+ API, Facebook Graph and Windows Live Connect"
pguso/ai-agents-from-scratch,https://github.com/pguso/ai-agents-from-scratch,4573,1813,2026-07-24T15:40:39Z,JavaScript,2025-10-23T19:39:04Z,MIT,675,main,"Demystify AI agents by building them yourself. Local LLMs, no black boxes, real understanding of function calling, memory, and ReAct patterns."
amperser/proselint,https://github.com/amperser/proselint,4572,5369,2026-08-26T16:20:16Z,JavaScript,2015-01-14T01:24:07Z,BSD-3-Clause,178,main,[Mirror] A linter for prose.
obgnail/typora_plugin,https://github.com/obgnail/typora_plugin,4567,60871,2026-09-03T11:18:52Z,JavaScript,2023-06-25T07:45:40Z,MIT,251,master,Typora Plugin. Feature Enhancement Tool | Typora 插件，功能增强工具
cyrus-and/chrome-remote-interface,https://github.com/cyrus-and/chrome-remote-interface,4551,1576,2026-02-09T09:02:35Z,JavaScript,2013-04-17T18:00:32Z,MIT,323,master,Chrome Debugging Protocol interface for Node.js
Clooos/Bubble-Card,https://github.com/Clooos/Bubble-Card,4550,27537,2026-09-02T18:11:55Z,JavaScript,2023-08-18T11:22:10Z,MIT,178,main,"Bubble Card is a minimalist and customizable card collection for Home Assistant, featuring modern pop-ups and an integrated Module Store with over 100 community-made modules."
