full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
google/flogger,https://github.com/google/flogger,1481,1382,2026-09-01T17:21:54Z,Java,2018-04-12T16:52:52Z,Apache-2.0,132,master,A Fluent Logging API for Java
apache/ratis,https://github.com/apache/ratis,1475,12910,2026-09-02T16:35:22Z,Java,2017-01-31T08:00:07Z,Apache-2.0,454,master,Open source Java implementation for Raft consensus protocol.
msgpack/msgpack-java,https://github.com/msgpack/msgpack-java,1474,3852,2026-08-31T23:43:01Z,Java,2011-06-29T08:45:39Z,Apache-2.0,322,main,MessagePack serializer implementation for Java / msgpack.org[Java]
spring-guides/gs-rest-service,https://github.com/spring-guides/gs-rest-service,1473,1713,2026-09-01T10:50:46Z,Java,2013-04-12T14:54:36Z,Apache-2.0,2728,main,Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.
googleapis/google-api-java-client,https://github.com/googleapis/google-api-java-client,1473,14994,2026-09-01T18:39:37Z,Java,2014-10-28T17:31:34Z,Apache-2.0,771,main,Google APIs Client Library for Java
Netflix/mantis,https://github.com/Netflix/mantis,1468,28871,2026-09-01T23:36:27Z,Java,2019-06-06T23:44:48Z,Apache-2.0,224,master,"A platform that makes it easy for developers to build realtime, cost-effective, operations-focused applications"
ModelEngine-Group/app-platform,https://github.com/ModelEngine-Group/app-platform,1454,29451,2026-08-26T07:29:39Z,Java,2025-03-31T07:11:30Z,MIT,233,main,AppPlatform 是一个前沿的大模型应用工程，旨在通过集成的声明式编程和低代码配置工具，简化和优化大模型的训练与推理应用的开发过程。本工程为软件工程师和产品经理提供一个强大的、可扩展的环境，以支持从概念到部署的全流程 AI 应用开发。
dadoonet/fscrawler,https://github.com/dadoonet/fscrawler,1451,27560,2026-09-03T05:19:15Z,Java,2012-06-08T17:23:03Z,Apache-2.0,307,main,Elasticsearch File System Crawler (FS Crawler)
ff4j/ff4j,https://github.com/ff4j/ff4j,1451,11266,2026-08-27T23:18:18Z,Java,2013-06-22T14:36:32Z,Apache-2.0,289,main,Feature Flags for Java made easy
GoogleCloudPlatform/bank-of-anthos,https://github.com/GoogleCloudPlatform/bank-of-anthos,1448,9099,2026-08-18T17:02:52Z,Java,2020-01-07T19:02:58Z,Apache-2.0,872,main,Retail banking sample application showcasing Kubernetes and Google Cloud
googleapis/google-http-java-client,https://github.com/googleapis/google-http-java-client,1443,12130,2026-07-20T17:49:24Z,Java,2015-01-09T00:00:41Z,Apache-2.0,473,main,Google HTTP Client Library for Java
wgzhao/Addax,https://github.com/wgzhao/Addax,1431,53690,2026-09-03T13:32:37Z,Java,2019-07-17T13:58:01Z,Apache-2.0,342,master,"Actively maintained fork of Alibaba DataX — a fast, versatile ETL tool for RDBMS/NoSQL data transfer"
bootique/bootique,https://github.com/bootique/bootique,1428,3355,2026-08-31T07:54:21Z,Java,2015-12-10T14:45:15Z,Apache-2.0,279,master,Bootique is a minimally opinionated platform for modern runnable Java apps.
opendatadiscovery/odd-platform,https://github.com/opendatadiscovery/odd-platform,1427,30907,2026-09-03T13:50:40Z,Java,2021-07-07T20:56:26Z,Apache-2.0,145,main,First open-source data discovery and observability platform. We make a life for data practitioners easy so you can focus on your business.
yinwang0/pysonar2,https://github.com/yinwang0/pysonar2,1424,9223,2026-03-02T04:19:48Z,Java,2013-10-29T07:20:43Z,Apache-2.0,498,master,PySonar2: a semantic indexer for Python with interprocedual type inference
oracle/tribuo,https://github.com/oracle/tribuo,1418,10960,2026-05-07T19:27:41Z,Java,2020-06-16T09:59:48Z,Apache-2.0,197,main,Tribuo - A Java machine learning library
google/conscrypt,https://github.com/google/conscrypt,1406,26382,2026-09-03T12:41:43Z,Java,2016-12-12T17:24:18Z,Apache-2.0,323,master,Conscrypt is a Java Security Provider that implements parts of the Java Cryptography Extension and Java Secure Socket Extension.
Stonewuu/ai-fusion-video,https://github.com/Stonewuu/ai-fusion-video,1404,21952,2026-08-18T04:36:42Z,Java,2026-03-16T15:08:46Z,MIT,308,main,"【融光】 - 基于 Agent 的全流程AI短剧/漫剧/视频创作平台 - Java & agentscope2.0 | Agent-based end-to-end AI creation platform for short dramas, motion comics, and videos – built on Java & & agentscope 2.0."
mkpaz/atlantafx,https://github.com/mkpaz/atlantafx,1400,28878,2026-08-23T14:10:09Z,Java,2022-03-30T04:23:47Z,MIT,101,master,Modern JavaFX CSS theme collection with additional controls.
SlimeKnights/TinkersConstruct,https://github.com/SlimeKnights/TinkersConstruct,1398,81728,2026-09-02T01:24:36Z,Java,2013-01-22T20:46:32Z,MIT,933,1.20.1,"Tinker a little, build a little, tinker a little more..."
hehonghui/Colorful,https://github.com/hehonghui/Colorful,1396,2013,2026-08-07T07:04:49Z,Java,2015-09-09T12:09:10Z,MIT,265,master,基于Theme的Android动态换肤库，无需重启Activity、无需自定义View，方便的实现日间、夜间模式。
troyzhxu/bean-searcher,https://github.com/troyzhxu/bean-searcher,1387,8228,2026-08-12T03:34:38Z,Java,2017-06-13T13:19:46Z,Apache-2.0,147,dev,🔥🔥🔥 A read-only ORM for complex queries in Java
apache/rocketmq-dashboard,https://github.com/apache/rocketmq-dashboard,1386,12551,2026-09-03T07:47:00Z,Java,2021-08-09T11:30:56Z,Apache-2.0,678,master,"The state-of-the-art Dashboard of Apache RoccketMQ provides excellent monitoring capability. Various graphs and statistics of events, performance and system information of clients and application is e"
zeroturnaround/zt-zip,https://github.com/zeroturnaround/zt-zip,1385,2368,2026-08-31T14:22:29Z,Java,2011-11-22T15:26:37Z,Apache-2.0,252,main,ZeroTurnaround ZIP Library
apache/cassandra-java-driver,https://github.com/apache/cassandra-java-driver,1382,49529,2026-08-14T20:44:19Z,Java,2012-11-19T18:44:41Z,Apache-2.0,891,trunk,Java Driver for Apache Cassandra®
google/j2cl,https://github.com/google/j2cl,1378,96650,2026-09-03T04:56:52Z,Java,2017-06-20T09:53:52Z,Apache-2.0,161,master,Java to Closure JavaScript transpiler
datavane/tis,https://github.com/datavane/tis,1377,41601,2026-08-31T08:24:46Z,Java,2019-01-23T13:44:33Z,Apache-2.0,296,master,"Support agile Ontology DataOps Based on Flink, DataX and Flink-CDC with Web-UI"
getmoneynote/moneynote-api,https://github.com/getmoneynote/moneynote-api,1372,3204,2026-03-10T06:20:25Z,Java,2023-05-31T05:33:20Z,MIT,207,main,Personal Finance Tracker
AnghelLeonard/Hibernate-SpringBoot,https://github.com/AnghelLeonard/Hibernate-SpringBoot,1372,33471,2026-03-25T11:30:34Z,Java,2018-10-13T07:55:05Z,Apache-2.0,537,master,Collection of 300+ best practices for Java persistence performance in Spring Boot applications
wimoor-erp/wimoor,https://github.com/wimoor-erp/wimoor,1371,92281,2026-08-29T02:50:50Z,Java,2022-07-01T05:04:41Z,MIT,500,main,
Netflix/hollow,https://github.com/Netflix/hollow,1368,27644,2026-09-02T23:57:31Z,Java,2016-12-02T18:56:43Z,Apache-2.0,248,master,Hollow is a java library and toolset for disseminating in-memory datasets from a single producer to many consumers for high performance read-only access.
moyangzhan/langchain4j-aideepin,https://github.com/moyangzhan/langchain4j-aideepin,1368,21603,2026-09-02T01:36:19Z,Java,2023-08-08T02:45:05Z,MIT,332,main,"基于AI的工作效率提升工具（聊天、绘画、知识库、工作流、 MCP服务市场、语音输入输出、长期记忆） | Ai-based productivity tools (Chat,Draw,RAG,Workflow,MCP marketplace, ASR,TTS, Long-term memory etc)"
apache/struts,https://github.com/apache/struts,1366,87700,2026-09-03T11:57:03Z,Java,2014-01-15T08:00:08Z,Apache-2.0,867,main,"Apache Struts is a free, open-source, MVC framework for creating elegant, modern Java web applications"
Endava/cats,https://github.com/Endava/cats,1366,37730,2026-09-02T12:18:37Z,Java,2020-04-02T13:14:39Z,Apache-2.0,90,master,"CATS is a REST API Fuzzer and negative testing tool for OpenAPI endpoints. CATS automatically  generates, runs and reports tests with minimum configuration and no coding effort. Tests are self-healing"
glowroot/glowroot,https://github.com/glowroot/glowroot,1356,36789,2026-09-02T20:23:13Z,Java,2014-01-29T05:25:58Z,Apache-2.0,337,main,"Easy to use, very low overhead, Java APM"
sermant-io/Sermant,https://github.com/sermant-io/Sermant,1344,43582,2026-02-06T07:55:39Z,Java,2021-09-07T01:22:41Z,Apache-2.0,186,develop,CNCF Sandbox project: A Cloud-Native Proxyless Service Mesh based on Java Bytecode Enhancement Technology
cuba-platform/cuba,https://github.com/cuba-platform/cuba,1342,81827,2026-01-21T13:03:46Z,Java,2016-03-24T07:55:56Z,Apache-2.0,217,master,CUBA Platform is a high level framework for enterprise applications development
warmuuh/milkman,https://github.com/warmuuh/milkman,1337,6281,2026-08-04T12:53:04Z,Java,2019-03-27T13:42:47Z,MIT,81,master,An Extensible Request/Response Workbench
joey-zhou/xiaozhi-esp32-server-java,https://github.com/joey-zhou/xiaozhi-esp32-server-java,1337,41457,2026-09-03T00:15:50Z,Java,2025-02-27T07:35:36Z,MIT,493,main,小智ESP32的Java企业级管理平台，提供设备监控、音色定制、角色切换和对话记录管理的前后端及服务端一体化解决方案
treasure-data/digdag,https://github.com/treasure-data/digdag,1333,85670,2026-09-03T02:36:22Z,Java,2015-09-18T23:18:08Z,Apache-2.0,230,master,Workload Automation System
rstyro/Springboot,https://github.com/rstyro/Springboot,1326,10267,2026-05-09T08:32:22Z,Java,2017-07-25T09:20:32Z,MIT,346,master,springboot 和一些主流框架的整合的各个基本demo
0x727/BypassPro,https://github.com/0x727/BypassPro,1321,16358,2026-05-10T14:59:04Z,Java,2023-04-06T10:22:34Z,Apache-2.0,63,main,对Auth/Waf 自动化bypass的burpsuite插件
cfig/Android_boot_image_editor,https://github.com/cfig/Android_boot_image_editor,1321,45257,2026-08-06T07:21:40Z,Java,2016-04-14T13:12:18Z,Apache-2.0,297,master,"Parsing and re-packing Android boot.img/vbmeta.img/payload.bin, supporting Android 16"
sirthias/parboiled,https://github.com/sirthias/parboiled,1318,64654,2026-08-31T04:33:47Z,Java,2009-10-05T16:16:20Z,Apache-2.0,148,master,"Elegant parsing in Java and Scala - lightweight, easy-to-use, powerful."
spring-cloud/spring-cloud-openfeign,https://github.com/spring-cloud/spring-cloud-openfeign,1310,13371,2026-09-03T13:27:22Z,Java,2018-02-05T21:26:12Z,Apache-2.0,834,main,Support for using OpenFeign in Spring Cloud apps
GoogleCloudPlatform/DataflowTemplates,https://github.com/GoogleCloudPlatform/DataflowTemplates,1310,86522,2026-09-03T13:59:54Z,Java,2018-02-10T00:31:37Z,Apache-2.0,1115,main,Cloud Dataflow Google-provided templates for solving in-Cloud data tasks
